ID,Label,Tweet
277,0,Invigorating
278,0,Adored
279,0,Vibrant
280,0,Jubilee
281,0,Dreamy
282,0,Trustworthy
283,0,Dreamlike
284,0,Peaceful
285,0,Flourishing
286,0,Marvelous
287,0,Heartening
288,0,Beloved
289,0,Pure
290,0,Priceless
291,0,Harmonize
292,0,Rejuvenating
293,0,Compassion
294,0,Joyous
295,0,Sparkling
296,0,Optimistic
297,0,Heavenly
298,0,Sunshine
299,0,Enriching
300,0,Gladden
301,0,Resplendent
302,0,Enthusiastic
303,0,Gracefully
304,0,Tenderness
305,0,Cheerfulness
306,0,Glittering
307,0,Affirmative
308,0,Kindhearted
309,0,Luminous
310,0,Blessedly
311,0,Rejoicing
312,0,Blissfully
313,0,Reassuring
314,0,Abundant
315,0,Magical
316,0,Devoted
317,0,Sparkle
318,0,Jubilance
319,0,Vibrancy
320,0,Tenderly
321,0,Brightness
322,0,Grateful
323,0,Lovable
324,0,Refreshing
325,0,Supportive
326,0,Enlivening
327,0,Dreamily
328,0,Angelically
329,0,Heartwarming
330,0,Spark
331,0,Rejoice
332,0,Kindly
333,0,Cherishing
334,0,Heartfelt
335,0,Gratitude
336,0,Affection
337,0,Brighten
338,0,Lovingly
339,0,Charming
340,0,Dreamland
341,0,Brilliance
342,0,Thankful
343,0,Friendly
344,0,Delight
345,0,Tranquilly
346,0,Radiantly
347,0,Appreciative
348,0,Smiling
349,0,Heartening
350,0,Empowerment
351,0,Adoration
352,0,Joyfulness
353,0,Enthralling
354,0,Sparklingly
355,0,Encouragement
356,0,Harmoniously
357,0,Heartfelt
358,0,Comfortable
359,0,Gladness
360,0,Loyal
361,0,Tenderheartedly
362,0,Jubilantly
363,0,Lovable
364,0,Gladsome
365,0,Serenity
366,0,Endearingly
367,0,Appreciated
368,0,Felicity
369,0,Gratefulness
370,0,Friendship
371,0,Belovedly
372,0,Smiley
373,0,Endearment
374,0,Glowingly
375,0,Affably
376,0,Enlivened
377,0,Cheer
378,0,Thankfulness
379,0,Gracefulness
380,0,Tender-hearted
381,0,Sunshiney
382,0,Captivation
383,0,Enthusiast
384,0,Elation
385,0,Loveable
386,0,Sweetness
387,0,Affirmation
388,0,Satisfying
389,0,Loving-kindness
390,0,Pleasant
391,0,Heartfelt
392,0,Admiration
393,0,Gleeful
394,0,Enjoyable
395,0,Warmth
396,0,Blissfulness
397,0,Gladly
398,0,Cuddle
399,0,Empoweringly
400,0,Loving-kindness
401,0,Merry
402,0,Enthusiasm
403,0,Appreciatively
404,0,Delighted
405,0,Harmony
406,0,Sweetly
407,0,Warmly
408,0,Glee
409,0,Likable
410,0,Marvelously
411,0,Friendship
412,0,Dreaminess
413,0,Affirming
414,0,Gladdened
415,0,Cozy
416,0,Thankworthy
417,0,Enlivenment
418,0,Friendship
419,0,Happiness
420,0,Rejoiced
421,0,Fulfilled
422,0,Glad
423,0,Radiate
424,0,Heartwarming
425,0,Tenderly
426,0,Gratefulness
427,0,Blissfully
428,0,Enthralled
429,0,Appreciatively
430,0,Enthusiastic
431,0,Brightly
432,0,Cheerily
433,0,Gladdening
434,0,Kindliness
435,0,Smiles
436,0,Warm-hearted
437,0,Thriving
438,0,Enchantment
439,0,Enraptured
440,0,Thanking
441,0,Sweetheart
442,0,Gratification
443,0,Cheerfulness
444,0,Lovingly
445,0,Beloved
446,0,Brightening
447,0,Affectionately
448,0,Enthusiastically
449,0,Affectionate
450,0,Jubilantly
451,0,Tenderheartedness
452,0,Friendship
453,0,Gleefully
454,0,Smilingly
455,0,Delightedly
456,0,Coziness
457,0,Radiantly
458,0,Joyous
459,0,Thankful
460,0,Joyfulness
461,0,Heartened
462,0,Dreaminess
463,0,Love
464,0,Adorably
465,0,Heartfelt
466,0,Friendliness
467,0,Gratitude
468,0,Warm-heartedness
469,0,Smiley
470,0,Appreciatively
471,0,Loving-kindness
472,0,Lovingly
473,0,Brightly
474,0,Jubilance
475,0,Rejoicing
476,0,Affably
477,0,Gleefulness
478,0,Lovingly
479,0,Blissfulness
480,0,Enthusiastically
481,0,Joyfulness
482,0,Rejoice
483,0,Affectionately
484,0,Gleefully
485,0,Cheerfulness
486,0,Lovingly
487,0,Heartfelt
488,0,Appreciatively
489,0,Gratefulness
490,0,Brightly
491,0,Jubilantly
492,0,Affably
493,0,Gleefully
494,0,Heartfelt
495,0,Loving-kindness
496,0,Lovingly
497,0,Cheerfulness
498,0,Affectionately
499,0,Gleefully
500,0,Heartfelt
501,1,progressiverummy
502,1,Cigarettes
503,1,smoking
503,1,SMOKING AREA
504,1,die
505,1,rummyrules
506,1,designatedsmokingareavv
507,1,marlboroyoure goingto die anyway

